型式,行政區,場名,位置,緯度,經度,收費標準,大車,小車,機車,管理業者,聯絡電話,履約起迄
立體,茄萣區,"興達港
(地上)",民族路51號,22.871711,120.194328,小車計時(5元/半小時),0,140,0,俥亭事業股份有限公司,(07)6989439,112/10/01～117/09/30
平面,茄萣區,金興,金鑾路&仁愛路,22.896045,120.184924,小車計次(30元/6小時),0,142,0,俥亭事業股份有限公司,(07)5314002,112/01/01～116/12/31
平面,茄萣區,興達,大發路(興達觀光漁市旁),22.868525,120.192958,"小車計次(50元/6小時)
大車計次(100元/6小時)",15,140,0,俥亭事業股份有限公司,(07)6989640,112/10/01～117/09/30
平面,茄萣區,崎漏,濱海路一段&建興街,22.873595,120.191209,小車計次(30元/6小時),0,38,0,"車棚：全盈光電有限公司
停車：辰淵企業股份有限公司","0800035518
0925018057","111/09/01～121/07/31
113/12/21～121/07/31"
平面,燕巢區,燕巢燕北,中北路238巷27-1號對面,22.796874,120.36253,小車計次(30元/6小時),0,24,0,歐特儀股份有限公司,903135731,113/04/01～119/03/31
平面,路竹區,路竹民富,民強街&民富街,22.854027,120.26285,小車計次(30元/6小時),0,34,37,"車棚：環球大宇宙太陽能工業有限公司
停車：凱映國際股份有限公司","0980889269
0903030408","110/06/01～120/04/30
113/03/01～120/04/30"
平面,路竹區,竹東,中正路106號對面,22.856146,120.262748,小車計次(30元/6小時),0,34,0,俥亭事業股份有限公司,(07)5314002,112/10/01～117/09/30
平面,路竹區,延平,延平路170號旁,22.858268,120.256633,小車計次(30元/6小時),0,42,0,俥亭事業股份有限公司,(07)5314002,112/10/01～117/09/30
平面,永安區,烏樹林,永安路一巷，永安宮廣場隔壁,22.817869,120.224527,小車計次(30元/6小時),0,12,0,俥亭事業股份有限公司,(07)5314002,112/09/01～117/08/31
平面,大社區,大社自強街,區公所對面；自強街上,22.730015,120.346801,小車計次(30元/6小時),0,28,0,歐特儀股份有限公司,903135731,113/04/01～118/03/31
平面,大社區,大社觀音山,翠屏路108巷&鹽埕巷,22.72809,120.370916,小車計次(30元/6小時),0,108,26,歐特儀股份有限公司,903135731,113/04/01～119/03/31
立體,岡山區,"岡山
(地上)",大仁北路3號,22.800222,120.301913,小車計次(20元/8小時),0,154,0,"停車：
商場：全聯實業股份有限公司",(07)6214039,112/04/11～117/04/10
平面,岡山區,岡山平面,岡山路&民有路,22.791792,120.29625,小車計時(15元/半小時),0,177,59,竑穗興業股份有限公司,800208333,110/10/01～115/09/30
平面,岡山區,岡山戶政,岡山路345巷1號旁,22.797346,120.294407,小車計時(15元/半小時),0,57,0,竑穗興業股份有限公司,800208333,111/02/01～116/01/31
平面,岡山區,中華路圓環,中華路&民族路交岔西北側,22.793843,120.288066,小車計次(30元/6小時),0,20,0,竑穗興業股份有限公司,800208333,110/10/01～115/09/30
平面,岡山區,和平公園,大德一路＆竹圍東路,22.797501,120.30383,小車計次(30元/6小時),0,22,0,竑穗興業股份有限公司,800208333,110/10/01～115/09/30
平面,岡山區,平和岡燕,平和路6號對面,22.794561,120.296946,小車計時(15元/半小時),0,47,0,和雲行動服務股份有限公司,(07)3461515,111/09/01～116/08/31
平面,岡山區,國軒,國軒路7號旁,22.782239,120.284235,小車計時(15元/半小時),0,82,0,辰淵企業股份有限公司,(07)5368599,113/11/01～119/10/31
平面,彌陀區,彌陀公園,中正西路&中正北路,22.78443,120.246585,小車計次(30元/6小時),0,33,13,日月亭股份有限公司,(07)5314002,112/08/01～117/07/31
平面,橋頭區,仕興,仕豐路信義巷75號對面,22.749817,120.30965,小車計次(30元/6小時),0,32,0,日月亭股份有限公司,(07)5314002,112/08/01～117/07/31
平面,橋頭區,建樹,中正路48巷19號旁,22.817869,120.224527,小車計次(30元/6小時),0,31,0,日月亭股份有限公司,(07)5314002,112/08/01～117/07/31
平面,梓官區,蚵仔寮,A區：漁港二路13號前,22.727433,120.255335,小車計時(15元/半小時),0,163,72,日月亭股份有限公司,(07)5314002,113/01/31～117/12/31
-,-,-,B區：中正路75號後面,22.727433,120.255335,"小車平日計次(30元/6小時)
小車假日計時(15元/半小時)",-,-,-,-,-,-
-,-,-,C區：嘉好路26巷385弄,22.731726,120.259252,小車計次(30元/6小時),-,-,-,-,-,-
平面,楠梓區,歡樂17,軍校路&後昌路837巷,22.71027,120.292951,小車計時(15元/半小時),0,36,22,日月亭股份有限公司,(07)5314002,112/06/01～117/05/31
平面,楠梓區,廣昌,右昌忠義9巷&廣昌街113巷,22.70588,120.285434,小車計次(30元/6小時),0,57,68,宜舍企業股份有限公司,(07)5314002,112/07/01～116/04/30
平面,楠梓區,立民,立民路＆立仁路,22.742243,120.336768,小車計時(15元/半小時),0,32,0,竑穗興業股份有限公司,800208333,110/09/01～115/08/31
平面,楠梓區,常德,常順路＆常德街32巷,22.731953,120.336679,小車計次(30元/6小時),0,30,0,竑穗興業股份有限公司,800208333,110/09/01～115/08/31
平面,楠梓區,常順,常順路32巷＆當興街115巷,22.732167,120.337002,小車計次(30元/6小時),0,78,0,竑穗興業股份有限公司,800208333,110/09/01～115/08/31
平面,楠梓區,青埔,青埔街50巷,22.729683,120.323657,小車計次(30元/6小時),0,39,16,竑穗興業股份有限公司,800208333,110/08/01～115/07/31
平面,楠梓區,清豐,土庫二路&清豐三路,22.737587,120.327289,小車計次(30元/6小時),0,44,92,竑穗興業股份有限公司,800208333,110/08/01～115/07/31
平面,楠梓區,楠梓運動場,東寧路＆楠裕街,22.732346,120.331818,小車計次(30元/6小時),0,143,0,竑穗興業股份有限公司,800208333,110/09/01～115/08/31
平面,楠梓區,樂群,樂群路＆加宏路,22.71847,120.296781,小車計次(30元/6小時),0,34,0,竑穗興業股份有限公司,800208333,110/08/01～115/07/31
平面,楠梓區,三山,三山街＆福興街,22.715993,120.282675,小車計次(30元/6小時),0,99,0,竑穗興業股份有限公司,800208333,110/09/01～115/08/31
平面,楠梓區,惠民,惠民路＆壽豐路,22.723361,120.294092,小車計時(15元/半小時),0,63,68,竑穗興業股份有限公司,800208333,110/09/01～115/08/31
平面,楠梓區,加昌,加昌路＆軍校路880巷31弄,22.712932,120.292831,小車計時(15元/半小時),0,96,0,竑穗興業股份有限公司,800208333,110/08/01～115/07/31
平面,楠梓區,後昌,後昌路862-1號旁,22.712423,120.294523,小車計時(15元/半小時),0,13,10,竑穗興業股份有限公司,800208333,110/08/01～115/07/31
平面,楠梓區,大昌,右昌街79巷＆右昌街79巷132弄,22.707539,120.288766,小車計次(30元/6小時),0,13,0,日月亭股份有限公司,(07)5314002,111/01/01～115/12/31
平面,楠梓區,都會公園,德民路＆高楠公路,22.731411,120.320034,"小車計次(30元/6小時)
大車計次(60元/6小時)",36,287,281,日月亭股份有限公司,(07)5314002,111/01/01～115/12/31
平面,楠梓區,高楠公路,高楠公路1872巷,22.732453,120.321049,小車計次(30元/6小時),0,99,0,日月亭股份有限公司,(07)5314002,111/01/01～115/12/31
平面,楠梓區,清安,清安街29號旁,22.737417,120.338605,小車計次(30元/6小時),0,58,11,日月亭股份有限公司,(07)5314002,112/06/01～117/05/31
平面,楠梓區,惠豐,加昌路18巷,22.725562,120.321295,小車計次(30元/6小時),0,44,0,日月亭股份有限公司,(07)5314002,111/06/01～116/05/31
平面,楠梓區,安泰,安泰街221號,22.745067,120.335624,小車計時(25元/半小時),0,49,0,竑穗興業股份有限公司,800208333,112/09/08～117/09/30
平面,楠梓區,藍田,藍田路與大學17街,22.728237,120.282888,小車計時(15元/半小時),0,114,0,宜舍企業股份有限公司,(07)5314002,112/12/01～118/11/30
平面,楠梓區,莒光公園,後昌路782巷105號對面,22.712411,120.297967,小車計時(15元/半小時),0,36,0,宜舍企業股份有限公司,(07)5314002,113/07/01～117/09/30
立體,左營區,"海功
(地下)",海功路57號,22.693528,120.297248,小車計時(15元/半小時),0,506,0,辰淵企業股份有限公司,(07)5820597,112/01/01～116/12/31
立體,左營區,"福山
(地下)",重信路35號,22.683526,120.316536,小車計時(5元/半小時),0,459,0,詮營股份有限公司,(02)77490655,109/04/01～114/03/31
平面,左營區,微笑,自由三路161號對面,22.671386,120.311184,小車計次(30元/6小時),0,145,0,日月亭股份有限公司,(07)5314002,109/10/01～114/09/30
平面,左營區,富民,富民路&太原街,22.667631,120.305613,小車計時(20元/半小時),0,41,0,日月亭股份有限公司,(07)5314002,112/06/01～117/05/31
平面,左營區,龍華,大順一路&龍德新路,22.655956,120.310953,小車計次(30元/6小時),0,54,0,歐特儀股份有限公司,(07)5314002,113/08/01～118/07/31
平面,左營區,曾子,自由三路&曾子路路,22.676598,120.312769,小車計次(30元/6小時),0,37,0,日月亭股份有限公司,(07)5314002,111/01/01～115/12/31
平面,左營區,埤子頭,左營大路6巷81號對面,22.680342,120.289508,小車計時(15元/半小時),0,46,0,竑穗興業股份有限公司,800208333,111/02/01～116/01/31
平面,左營區,左營文恩,文恩路124巷3號前,22.68516,120.31901,小車計時(20元/半小時),0,106,292,竑穗興業股份有限公司,800208333,112/01/01～116/04/30
平面,左營區,左營站前,站前路&站前南路,22.686938,120.305205,"機車計次(15元/日)
小車計時(15元/半小時)",0,298,500,日月亭股份有限公司,(07)5314002,109/12/01～114/11/30
平面,左營區,哈囉市場,左營大路672巷&左營下路,22.691753,120.298629,小車計次(30元/6小時),0,166,0,俥亭事業股份有限公司,(07)6989439,112/12/01～117/11/30
平面,左營區,左營北站,左營大路＆進學路,22.690465,120.29538,小車計次(30元/6小時),0,53,0,俥亭事業股份有限公司,(07)6989439,112/10/01～117/09/30
平面,左營區,重平,重平路＆華夏路,22.685068,120.310609,小車計時(15元/半小時),0,54,0,五都停車場股份有限公司,923970000,110/02/01～115/01/31
平面,左營區,重和,重和路＆華夏路,22.685519,120.311382,小車計時(15元/半小時),0,160,0,五都停車場股份有限公司,923970000,110/02/01～115/01/31
平面,左營區,辛亥,裕誠路＆辛亥路,22.664795,120.310052,小車計時(15元/半小時),0,43,0,竑穗興業股份有限公司,800208333,110/11/01～115/10/31
平面,左營區,環潭,環潭路332之1號旁,22.686159,120.299988,小車計次(30元/6小時),0,32,0,竑穗興業股份有限公司,800208333,111/01/01～115/12/31
平面,左營區,海光,勝利路＆新莊仔路,22.67869,120.292626,"小車計次(30元/6小時)
大車計次(60元/6小時)",17,89,129,竑穗興業股份有限公司,800208333,110/11/01～116/11/30
平面,左營區,舊左營國中,新庄子路＆勝利路,22.677951,120.293234,小車計次(30元/6小時),0,141,0,-,-,-
平面,左營區,榮光,榮光街＆榮總路,22.684962,120.321603,小車計時(15元/半小時),0,26,24,竑穗興業股份有限公司,800208333,110/11/01～115/10/31
平面,左營區,果貿市場,翠華路＆中華一路,22.668348,120.288109,小車計時(30元/6小時),0,13,0,竑穗興業股份有限公司,800208333,110/11/01～115/10/31
平面,左營區,東門,翠華路601巷&城峰路,22.674278,120.290112,小車計次(30元/6小時),0,42,0,歐特儀股份有限公司,903135731,113/05/01～118/04/30
平面,左營區,啟文,啟文路(海青工商後方),22.6738587,120.2839719,小車計時(25元/半小時),0,40,0,辰淵企業股份有限公司,(07)5368599,112/06/01～118/05/31
平面,左營區,實踐,海富路＆實踐路,22.6903146,120.2893653,小車計時(25元/半小時),0,65,0,辰淵企業股份有限公司,(07)5368599,112/05/10～118/05/09
平面,左營區,左營左東,菜公路＆菜公路146巷,22.22691,120.30017,小車計時(25元/半小時),0,60,0,宜舍企業股份有限公司,(07)5314002,113/01/29～117/01/31
平面,左營區,自勉,介壽路與自勉路口,22.679017,120.280162,小車計次(30元/6小時),0,70,0,宜舍企業股份有限公司,(07)5314002,113/08/01～118/08/31
平面,左營區,三角公園,左營大路2-87號旁,22.678454,120.287413,小車計時(15元/半小時),0,40,0,宜舍企業股份有限公司,(07)5314002,113/11/01-119/10/31
立體,鼓山區,"鼓山國小
(地下)",登山街&壽山街,22.624803,120.271736,小車計時(15元/半小時),0,184,0,歐特儀股份有限公司,(07)5316253,110/03/31～115/03/30
立體,鼓山區,"美術館
(地上)",美術館路82號,22.655661,120.285431,小車計時(15元/半小時),0,398,0,竑穗興業股份有限公司,800208333,112/11/01～117/10/31
平面,鼓山區,華泰,華泰路&華泰路211巷,22.669561,120.293023,小車計時(15元/半小時),0,32,0,宜舍企業股份有限公司,(07)5314002,112/07/01～116/04/30
平面,鼓山區,前峰,內惟路&銘傳路,22.666703,120.28233,小車計時(30元/6小時),0,68,0,宜舍企業股份有限公司,(07)5314002,112/07/01～116/04/30
平面,鼓山區,河川,河川街&綠川街,22.635222,120.283772,小車計次(30元/6小時),0,22,11,阜爾運通股份有限公司,800208333,109/07/01～113/12/31
平面,鼓山區,哨船,哨船街85號旁,22.623574,120.269215,小車計時(25元/半小時),0,21,9,阜爾運通股份有限公司,800208333,109/07/01～113/12/31
平面,鼓山區,濱海,濱海二路&臨海二路,22.623975,120.269812,計時(25元/半小時),0,26,36,阜爾運通股份有限公司,800208333,109/07/01～113/12/31
平面,鼓山區,臨海二路,臨海二路&捷興街,22.621335,120.274466,"小車平日計時(15元/半小時)
小車假日計時(20元/半小時)",0,12,30,阜爾運通股份有限公司,800208333,109/07/01～113/12/31
平面,鼓山區,南鼓山,臨海二路&捷興二街,22.621624,120.27463,"小車平日計時(15元/半小時)
小車假日計時(20元/半小時)",0,28,0,阜爾運通股份有限公司,800208333,109/07/01～113/12/31
平面,鼓山區,廣三,鼓山一路＆鼓元街＆鼓元街2巷,22.620612,120.274421,"小車平日計次(30元/ 6小時)
小車假日計時(20元/半小時)",0,9,0,竑穗興業股份有限公司,800208333,114/01/01～119/03/31
平面,鼓山區,龍德,龍德新路&新德路,22.654402,120.304694,"小車平日計時(15元/半小時)
小車假日計時(20元/半小時)",0,39,0,阜爾運通股份有限公司,800208333,109/07/01～113/12/31
平面,鼓山區,裕興,中華一路＆中華一路29巷20弄,22.667319,120.290198,小車計時(15元/半小時),0,22,0,俥亭事業股份有限公司,(07)5314002,112/10/01～117/09/30
平面,鼓山區,柴山機車,青泉街＆青泉街126巷,22.654128,120.274536,-,0,0,150,-,-,-
立體,三民區,"十全
(地上)",十全路6號,22.645086,120.314642,小車計時(15元/半小時),0,208,0,日月亭股份有限公司,(07)3807433,109/01/21～114/01/20
立體,三民區,"光武國小
(地下)",光武路35號,22.639506,120.334803,小車計時(15元/半小時),0,128,0,歐特儀股份有限公司,(07)3853903,111/11/17～116/11/16
立體,三民區,"雄工
(地上)",大順二路338號,22.647358,120.323102,小車計時(15元/半小時),0,470,171,正好停股份有限公司,(07)3850621,113/03/01～118/02/28
平面,三民區,民族一路,民族一路＆九如二路(民族陸橋下西側),22.639833,120.31379,小車計時(15元/半小時),0,110,12,日月亭股份有限公司,(07)2351637,109/10/01～114/09/30
平面,三民區,明仁,明仁路&明吉路,22.662663,120.313188,小車計時(15元/半小時),0,111,0,竑穗興業股份有限公司,800208333,110/12/01～115/11/30
平面,三民區,正興,正興路&正興路163巷,22.646561,120.319689,小車計次(30元/6小時),0,139,46,竑穗興業股份有限公司,800208333,113/04/01～118/03/31
平面,三民區,臥龍,九如一路&臥龍路,22.638336,120.329918,小車計時(15元/半小時),0,28,0,歐特儀股份有限公司,(07)2239489,113/08/01～118/07/31
平面,三民區,陽明,陽明路&義華路,22.642932,120.342197,小車計時(15元/半小時),0,48,0,歐特儀股份有限公司,(07)2291941,113/06/01～118/05/31
平面,三民區,澄東,文安南街&褒揚東街,22.64029,120.346381,小車計時(15元/半小時),0,127,0,歐特儀股份有限公司,(07)2291941,113/06/01～118/05/31
平面,三民區,寶華,陽明路16巷內,22.637446,120.342022,小車計時(15元/半小時),0,91,46,日月亭股份有限公司,(07)5314002,111/01/01～115/12/31
平面,三民區,本和,鼎勇街&大園街,22.657448,120.325242,小車計時(30元/6小時),0,162,0,宜舍企業股份有限公司,(07)5314002,112/06/01～116/04/30
平面,三民區,金鼎,金山路&金山路18巷,22.66334,120.326025,小車計次(30元/6小時),0,36,0,宜舍企業股份有限公司,(07)5314002,112/06/01～116/04/30
平面,三民區,鼎泰,裕誠路＆鼎瑞街,22.663858,120.315139,小車計時(15元/半小時),0,62,83,竑穗興業股份有限公司,800208333,110/09/01～115/08/31
平面,三民區,金山,金山路＆金山路360巷,22.661921,120.31869,小車計時(15元/半小時),0,8,17,竑穗興業股份有限公司,800208333,110/09/01～115/08/31
平面,三民區,三民二號公園,同協路＆安東街,22.648421,120.295634,小車計次(30元/6小時),0,51,25,竑穗興業股份有限公司,800208333,110/09/01～115/08/31
平面,三民區,皓東,正忠路&皓東路17巷,22.648507,120.331212,小車計次(30元/6小時),0,89,0,阜爾運通股份有限公司,800208333,109/07/01～113/12/31
平面,三民區,聯興,聯興路與大順一路口,22.656165,120.313863,"機車計次(15元/日)
小車計時(15元/半小時)",0,121,50,日月亭股份有限公司,(07)2351637,114/01/01～119/6/30
平面,三民區,金獅湖,鼎金一巷蝴蝶園旁,22.665892,120.328285,小車計次(30元/6小時),0,37,42,阜爾運通股份有限公司,800208333,109/07/01～113/12/31
平面,三民區,龍江公園,龍江街＆復興一路,22.639894,120.308364,小車計時(15元/半小時),0,29,47,日月亭股份有限公司,(07)2351637,111/01/01～115/12/31
平面,仁武區,仁武竹後,水管路北側＆竹後社區活動中心旁,22.706409,120.337235,小車計次(30元/6小時),0,36,0,和雲行動服務股份有限公司,(07)3461515,109/04/01～114/03/31
平面,仁武區,安樂三街,安樂三街76巷,22.708016,120.346245,小車計時(15元/半小時),0,20,0,歐特儀股份有限公司,903135731,113/04/01～119/03/31
平面,仁武區,慈惠,赤仁路60號對面,22.675948,120.347985,小車計次(30元/6小時),0,59,0,日月亭股份有限公司,(07)5314002,111/01/01～115/12/31
平面,仁武區,八卦里,永仁街＆永新二街,22.682962,120.332101,小車計次(30元/6小時),0,60,12,竑穗興業股份有限公司,800208333,110/10/01～115/09/30
平面,仁武區,仁和公園,仁和公園內,22.680995,120.352465,小車計次(30元/6小時),0,55,0,竑穗興業股份有限公司,800208333,110/10/01～115/09/30
平面,仁武區,仁慈公園,仁慈公園旁,22.671833,120.359018,小車計次(30元/6小時),0,35,0,日月亭股份有限公司,(07)5314002,112/09/01～118/08/31
平面,仁武區,仁武澄仁,澄仁路56巷旁,22.679218,120.345208,小車計次(30元/6小時),0,40,48,日月亭股份有限公司,(07)5314002,112/09/01～118/08/31
平面,仁武區,慈惠六街,慈惠六街,22.674312,120.351436,小車計次(30元/6小時),0,119,0,日月亭股份有限公司,(07)5314002,112/09/01～118/08/31
平面,仁武區,澄德停一,八德東路&京吉六路,22.685134,120.34144,小車計次(30元/6小時),0,114,0,竑穗興業股份有限公司,800208333,110/10/01～115/09/30
平面,仁武區,澄觀停八,京富路＆京文街,22.6790964,120.3346903,小車計次(30元/6小時),0,66,0,日月亭股份有限公司,(07)5314002,111/01/01～115/12/31
平面,仁武區,大豐公園,大灣綜合活動中心前,22.676219,120.336655,小車計次(30元/6小時),0,81,0,竑穗興業股份有限公司,800208333,113/10/01～119/09/30
平面,仁武區,灣北公園南側,八德東路笙曜企業有限公司仁武廠旁,22.68772,120.347113,小車計次(30元/6小時),0,59,0,竑穗興業股份有限公司,800208333,113/10/01～119/09/30
平面,仁武區,八德小車,八德南路&京吉一路,22.68097,120.340232,小車計次(30元/6小時),0,122,0,竑穗興業股份有限公司,800208333,110/10/01～115/09/30
平面,仁武區,八德大車,八德南路&澄觀路旁,22.680336,120.340526,大車計次(60元/6小時),79,0,0,國雲科技股份有限公司,800779979,112/07/01～118/06/30
平面,仁武區,澄觀大車,八德西路&京富路,22.677131,120.330974,"小車計次(30元/6小時)
大車計次(60元/6小時)",112,0,0,國雲科技股份有限公司,800779979,112/07/01～118/06/30
立體,新興區,"忠孝
(地下)",忠孝一路331號,22.633395,120.306056,小車計時(20元/半小時),0,568,0,俥亭事業股份有限公司,(07)2351637,112/08/01～117/07/31
立體,新興區,"民權輕鋼架
(地上)",民權一路221號,22.623527,120.311551,小車計時(15元/半小時),0,256,203,日月亭股份有限公司,(07)2292017,110/11/01～115/10/31
立體,新興區,"財稅大樓
(地下)",中正三路25號,22.630674,120.309858,小車計時(15元/半小時),0,131,0,歐特儀股份有限公司,(07)2291941,111/07/01～116/06/30
平面,新興區,忠孝一路,中正三路&忠孝一路,22.630911,120.306104,小車計時(20元/半小時),0,40,7,宜舍企業股份有限公司,(07)2351637,112/07/01～116/05/31
平面,新興區,"信義國小機車
(錦田機車)",中正三路&錦田路；信義國小旁,22.631477,120.310186,-,0,0,124,-,-,-
立體,前金區,"自強
(地下)",文武一街65號,22.631162,120.29344,小車計時(15元/半小時),0,305,0,歐特儀股份有限公司,(07)2150135,109/05/01～114/04/30
平面,前金區,六合夜市,六合二路&瑞源路,22.631336,120.29721,小車計時(15元/半小時),14,35,0,日月亭股份有限公司,(07)5314002,109/11/01～114/10/31
平面,前金區,自強三路,自強三路&光明街,22.620724,120.297242,"小車平日計時(15元/半小時)
小車假日計時(20元/半小時)",0,51,0,阜爾運通股份有限公司,800208333,109/07/01～113/12/31
平面,前金區,成功機車,成功一路&前金二街,22.6271,120.292778,機車計次(15元/日),0,0,60,宜舍企業股份有限公司,(07)2351637,113/09/01～118/08/31
立體,鹽埕區,"鹽埕
(地上)",大仁路10號,22.62497,120.286378,"小車平日計時(15元/半小時)
小車假日計時(20元/半小時)",0,931,0,俥亭事業股份有限公司,(07)5314002,112/10/01～117/09/30
立體,鹽埕區,"國際會議中心
(地下)",中正四路274號,22.626505,120.286221,"小車平日計時(15元/半小時)
小車假日計時(20元/半小時)",0,209,0,正好停股份有限公司,(07)5310730,112/10/01~117/09/30
平面,鹽埕區,大義公園,公園路&大義街,22.61966,120.285361,"機車計次(15元/日)
小車平日計次(50元/6小時)
小車假日小車計時(15元/半小時)
大車計時(30元/半小時)",10,346,692,阜爾運通股份有限公司,800208333,109/07/01～113/12/31
立體,苓雅區,"文化中心
(地下)",五福一路67號,22.627123,120.318888,小車計時(15元/半小時),0,830,0,歐特儀股份有限公司,(07)2233573,113/07/01～118/06/30
立體,苓雅區,"凱旋
(地下)",凱旋二路130號,22.625122,120.324037,小車計時(10元/半小時),0,559,0,歐特儀股份有限公司,933103225,110/04/01～115/03/31
立體,苓雅區,"武廟
(地上)",輔仁路123號,22.628847,120.332577,小車計時(15元/半小時),0,121,180,歐特儀股份有限公司,(07)7164421,109/05/09～114/05/08
立體,苓雅區,"四維
(地上)",苓雅一路226號,22.621429,120.311083,小車計時(15元/半小時),0,819,1004,竑穗興業股份有限公司,800208333,112/11/01～117/10/31
平面,苓雅區,苓中,苓雅一路&文橫二路,22.619044,120.305089,"小車平日計時(15元/半小時)
小車假日計時(20元/半小時)",0,69,47,阜爾運通股份有限公司,800208333,109/07/01～113/12/31
平面,苓雅區,輔仁,輔仁路&輔仁路89巷,22.625397,120.332024,小車計次(30元/6小時),0,27,46,阜爾運通股份有限公司,800208333,109/07/01～113/12/31
平面,苓雅區,允文,允文街&永明街,22.618606,120.294856,小車計時(15元/半小時),0,13,16,竑穗興業股份有限公司,800208333,110/09/01～115/08/31
平面,苓雅區,福裕,福德三路&福德三路133巷,22.622703,120.327201,小車計次(30元/6小時),0,114,0,竑穗興業股份有限公司,800208333,110/09/01～115/08/31
平面,苓雅區,英明,英明路&英明路163巷,22.617353,120.32438,小車計時(15元/半小時),0,92,32,日月亭股份有限公司,(07)2351637,109/11/01～114/10/31
平面,苓雅區,同慶,凱旋路&同慶路,22.627924,120.322928,小車計時(15元/半小時),0,111,110,竑穗興業股份有限公司,800208333,110/12/01～115/11/30
平面,苓雅區,金馬,三多一路&輔仁路,22.623718,120.33371,"小車計時(15元/半小時)
大車計時(30元/半小時)",13,182,28,竑穗興業股份有限公司,800208333,110/10/01～115/09/30
平面,苓雅區,林德官,廣州一街&廣東一街3巷,22.618869,120.319217,小車計時(15元/半小時),0,228,24,日月亭股份有限公司,(07)2351637,109/10/01～114/09/30
平面,苓雅區,正德,福德二路264巷&建國一路140巷25弄,22.6353,120.3289,小車計次(30元/6小時),0,14,0,和雲行動服務股份有限公司,(02)25171453,109/09/16～114/09/15
平面,苓雅區,福德,建國一路&福德二路,22.632876,120.328076,小車計時(15元/半小時),0,35,55,日月亭股份有限公司,(07)2351637,109/11/01～114/10/31
平面,苓雅區,樂仁,樂仁路125巷6弄&大順三路305巷,22.636993,120.325241,小車計時(15元/半小時),0,24,0,日月亭股份有限公司,(07)2351637,113/12/01～119/11/30
平面,苓雅區,建軍,三多一路&建軍路,22.626156,120.342225,小車計時(15元/半小時),0,46,22,-,-,-
平面,苓雅區,正憲,"A：憲政路242巷&安康路20巷
B：安康路&安康路20巷",22.63712,120.321546,小車計次(30元/6小時),0,217,86,-,-,-
立體,鳳山區,"鳳山運動園區
(地下)",立志街&體育路,22.623137,120.354463,小車計時(15元/半小時),0,614,0,日月亭股份有限公司,(07)7193409,111/05/23～116/05/22
立體,鳳山區,"五甲國宅社區
(地下)",國隆路6號,22.616454,120.347375,小車計次(30元/6小時),0,204,0,日月亭股份有限公司,(07)7636295,111/01/01～115/12/31
平面,鳳山區,竹子腳,瑞順街102號斜對面,22.628503,120.368627,小車計次(30元/6小時),0,17,0,竑穗興業股份有限公司,800208333,110/08/01～115/07/31
